Organization CRD#,Primary Business Name,Main Office Street Address 1,Main Office Street Address 2,Main Office City,Main Office State,Main Office Postal Code,Main Office Telephone Number,World Wide Web Site Address,Discretionary AUM,Discretionary accounts,Average discretionary account AUM,Non-discretionary AUM,Non-discretionary accounts,Average non-discretionary account AUM,Total AUM,Total accounts,Average total account AUM
127654,Mjp Associates Inc.,"790 Farmington Ave., Bldg 3E",,Farmington,CT,6032,(860) 677-7755,mjpassociates.com,"$131,682,536 ",538,"$244,763 ","$2,964,520 ",20,"$148,226 ","$134,647,056 ",558,"$241,303 "
144994,Mkd Wealth Coaches,"691 N. Squirrel Road, Suite 240",,Auburn Hills,MI,48326,(248) 418-5100,mkdwealthcoach.com,"$169,735,456 ","1,013","$167,557 ","$3,320,202 ",43,"$77,214 ","$173,055,658 ","1,056","$163,878 "
142487,Mkks Investment Advisory Services Inc.,"15260 Ventura Blvd., 1040",,Sherman Oaks,CA,91403,(818) 382-7800,,"$60,441,740 ",44,"$1,373,676 ","$156,387,467 ",50,"$3,127,749 ","$216,829,207 ",94,"$2,306,694 "
155649,Modera Wealth Management LLC,535 Boylston St.,Suite 300,Boston,MA,2116,(617) 247-0518,moderawealth.com,"$952,119,943 ","2,599","$366,341 ","$30,116,640 ",140,"$215,119 ","$982,236,583 ","2,739","$358,611 "
109419,Moisand Fitzgerald Tamayo LLC,601 South Lake Destiny Road,Suite 165,Maitland,FL,32751,(407) 869-6228,moisandfitzgerald.com,"$215,871,021 ","1,195","$180,645 ","$2,511,936 ",11,"$228,358 ","$218,382,957 ","1,206","$181,080 "
106969,Moler Capital Management,9070 Irvine Center Drive,Suite 240,Irvine,CA,92618,(949) 748-3993,molercapital.com,"$92,317,013 ",240,"$384,654 ",$0 ,0,,"$92,317,013 ",240,"$384,654 "
110493,Moller Financial Services,"One Northfield Plaza, Suite 200",,Northfield,IL,60093,(847) 441-7575,mollerfinancial.com,"$242,000,000 ",739,"$327,470 ",$0 ,0,,"$242,000,000 ",739,"$327,470 "
106244,Monarch Capital Management Inc.,"127 W Berry St., Suite 402",,Fort Wayne,IN,46802,(260) 422-2765,monarchcapitalmgmt.com,"$254,687,679 ",274,"$929,517 ",$0 ,0,,"$254,687,679 ",274,"$929,517 "
121217,Monetary Solutions Ltd.,3066 Kettering Blvd.,,Dayton,OH,45439,(937) 297-1140,,"$45,500,000 ",86,"$529,070 ",$0 ,0,,"$45,500,000 ",86,"$529,070 "
111485,Money Management Concepts Inc.,"6767 N. Wickham Road, Suite 400",,Melbourne,FL,32940,(321) 258-1932,moneymanagementconcepts.com,"$35,000,000 ",185,"$189,189 ",$0 ,0,,"$35,000,000 ",185,"$189,189 "
106832,Money Management Services Inc.,2100A Southbridge Parkway,Suite 375,Birmingham,AL,35209,(205) 871-7526,moneymanagementservice.com,"$141,494,430 ",803,"$176,207 ",$0 ,0,,"$141,494,430 ",803,"$176,207 "
104694,Money Plans,8701 Georgia Ave,Ste. 710,Silver Spring,MD,20910,(301) 589-4250,moneyplans.com,"$61,531,520 ",229,"$268,697 ",$0 ,0,,"$61,531,520 ",229,"$268,697 "
132080,Money Professionals LLC,625 East Romana St.,,Pensacola,FL,32502,(850) 433-5830,moneyprofessionals.net,"$40,780,782 ",276,"$147,756 ",$0 ,0,,"$40,780,782 ",276,"$147,756 "
106363,Money Strategies Inc.,7145 Turner Road,Suite 102,Rockledge,FL,32955,(321) 723-0101,moneystrategiesinc.com,"$47,000,000 ",174,"$270,115 ","$12,000,000 ",47,"$255,319 ","$59,000,000 ",221,"$266,968 "
107337,Money Watch Advisors Inc.,444 East Main St.,Suite 106,Lexington,KY,40507,(859) 268-1117,moneywatchadvisors.com,"$98,643,902 ",160,"$616,524 ",$0 ,0,,"$98,643,902 ",160,"$616,524 "
105756,Montag A & Associates Inc.,133 Peachtree St.,2500 Georgia Pacific Center,Atlanta,GA,30303,(404) 522-5774,www@amontag.com,"$883,318,855 ",862,"$1,024,732 ","$2,998,611 ",4,"$749,653 ","$886,317,466 ",866,"$1,023,461 "
150119,Monte Financial Group LLC,30 Long Hill Road,,Guilford,CT,6437,(203) 453-6851,montefinancialgroup.com,"$111,180,181 ",178,"$624,608 ","$12,386,488 ",16,"$774,156 ","$123,566,669 ",194,"$636,942 "
114572,Monterey Private Wealth Inc.,2340 Garden Road,Suite 202,Monterey,CA,93940,(831) 372-3426,willowridgecapital.com,"$173,689,311 ",899,"$193,203 ","$43,288,731 ",222,"$194,994 ","$216,978,042 ","1,121","$193,558 "
105918,Montrose Advisors Inc.,"505 Park Ave., 20th Floor",,New York,NY,10022,(212) 888-4747,montroseadvisors.com,"$29,104,285 ",1,"$29,104,285 ","$211,811,641 ",3,"$70,603,880 ","$240,915,926 ",4,"$60,228,982 "
111908,Monument Financial Advisors LLC,"801 Main St., Suite 14",,Concord,MA,1742,(978) 369-7705,monumentfa.com,"$122,385,917 ",119,"$1,028,453 ","$62,978,524 ",15,"$4,198,568 ","$185,364,441 ",134,"$1,383,317 "
108973,Moore Financial Group,8081 Shaffer Parkway,Suite 4,Littleton,CO,80127,(303) 225-8400,moorefinancialgroup.com,"$48,421,242 ",287,"$168,715 ","$4,720,673 ",12,"$393,389 ","$53,141,915 ",299,"$177,732 "
107915,Morgillo Financial Management Inc.,855 Turnpike St.,,North Andover,MA,1845,(978) 975-3000,morgillofinancial.com,"$86,367,000 ",622,"$138,854 ","$2,260,500 ",18,"$125,583 ","$88,627,500 ",640,"$138,480 "
114862,Morris Financial Concepts Inc.,107 Pitt St.,,Mount Pleasant,SC,29464,(843) 884-6192,mfcplanners.com,"$129,942,000 ",656,"$198,082 ",$0 ,0,,"$129,942,000 ",656,"$198,082 "
141250,Morton Capital Management,"23945 Calabasas Road, Suite 203",,Calabasas,CA,91302,(818) 222-4727,mortoncapital.com,"$790,626,087 ","1,810","$436,810 ","$137,830,982 ",42,"$3,281,690 ","$928,457,069 ","1,852","$501,327 "
109612,Mos Capital Inc.,500 E. Main St.,Suite 1135,Norfolk,VA,23510,(757) 222-3710,moscapital.com,"$68,395,948 ",251,"$272,494 ",$0 ,0,,"$68,395,948 ",251,"$272,494 "
105180,Mosaic Financial Partners Inc.,"140 Geary St., 6th Floor",,San Francisco,CA,94108,(415) 788-1952,mosaicfp.com,"$437,088,394 ",230,"$1,900,384 ","$735,187 ",4,"$183,797 ","$437,823,581 ",234,"$1,871,041 "
124152,Moseley Investment Management Inc.,1724 Manatee Ave. W,,Bradention,FL,34205,(941) 745-2799,moseleyinvestment.com,"$5,952,136 ",54,"$110,225 ","$47,699,449 ",400,"$119,249 ","$53,651,585 ",454,"$118,175 "
117399,Moser Wealth Advisors,2135 112th Ave. Ne,Suite 100,Bellevue,WA,98004,(425) 451-1850,centurycapitalllc.com,"$41,500,000 ",140,"$296,429 ",$0 ,0,,"$41,500,000 ",140,"$296,429 "
130761,Mowery Capital Management LLC,201 W. Virginia St.,,Mckinney,TX,75069,(972) 818-9944,mowerycapital.com,"$29,600,000 ",140,"$211,429 ",$0 ,0,,"$29,600,000 ",140,"$211,429 "
145777,Mozaic LLC,"9401 Wilshire Blvd., Suite 525",,Beverly Hills,CA,90212,(310) 247-9657,mozaic-llc.com,$0 ,0,,"$1,255,300,000 ",29,"$43,286,207 ","$1,255,300,000 ",29,"$43,286,207 "
155997,Mpc Advisers LLC,16655 Bluemound Road,Suite 150,Brookfield,WI,53005,(262) 787-3234,mpcfin.com,"$210,000,000 ","1,221","$171,990 ",$0 ,0,,"$210,000,000 ","1,221","$171,990 "
158338,Mraz Amerine & Associates Inc.,1120 13th St.,Suite K,Modesto,CA,95354,(209) 593-5870,mrazamerine.com,"$241,732,153 ","1,224","$197,494 ","$8,860,082 ",265,"$33,434 ","$250,592,235 ","1,489","$168,296 "
142616,Mtx Wealth Management LLC,7475 Wisconsin Ave.,Suite 600,Bethesda,MD,20814,(240) 482-4180,mtxwealth.com,"$377,927,325 ",586,"$644,927 ",$0 ,0,,"$377,927,325 ",586,"$644,927 "
113432,Mueller Financial Solutions Co.,303 N. 7th St.,,Canon City,CO,81212,(719) 275-1651,themuellercompanies.com,"$57,731,210 ",192,"$300,683 ","$5,266,296 ",28,"$188,082 ","$62,997,506 ",220,"$286,352 "
110743,Mullaney Keating & Wright Inc.,29 South Main St.,Suite 212,West Hartford,CT,6107,(860) 521-9900,mkwinc.com,"$205,528,483 ",447,"$459,795 ","$1,445,057 ",4,"$361,264 ","$206,973,540 ",451,"$458,921 "
107861,Murphy Middleton Hinkle & Parker Inc.,240 South Hansell St.,,Thomasville,GA,31792,(229) 228-1822,murphyinvestment.com,"$208,700,000 ",658,"$317,173 ","$7,741,000 ",25,"$309,640 ","$216,441,000 ",683,"$316,898 "
117737,Mustard Seed Financial LLC,202 S. Pine,,Magnolia,AR,71753,(870) 234-1618,mustardseedfinancial.com,"$111,999,165 ",695,"$161,150 ","$2,288,014 ",28,"$81,715 ","$114,287,179 ",723,"$158,074 "
107538,Mutual Fund Management Co,888 W Big Beaver,Ste 890,Troy,MI,48084,(248) 635-1155,mfmonline.com,"$164,497,417 ",916,"$179,582 ","$4,325,048 ",2,"$2,162,524 ","$168,822,465 ",918,"$183,902 "
150341,Mwm Investment Consulting LLC,2390 Tamiami Trail N.,Suite 108,Naples,FL,34103,(239) 430-0738,mwminvestmentconsulting.com,"$58,311,313 ",42,"$1,388,365 ",$0 ,0,,"$58,311,313 ",42,"$1,388,365 "
134436,Mycio Wealth Partners LLC,Cira Centre,"2929 Arch St., Suite 650",Philadelphia,PA,19104,(267) 295-2280,myciowp.com,"$1,962,398,613 ","2,290","$856,943 ","$3,581,859,021 ","1,767","$2,027,085 ","$5,544,257,634 ","4,057","$1,366,590 "
121180,N.D. Pitman & Co. Inc.,3800 Airport Blvd,Suite 306,Mobile,AL,36608,(251) 345-7748,,"$5,565,332 ",55,"$101,188 ","$107,129,280 ",190,"$563,838 ","$112,694,612 ",245,"$459,978 "
128455,Nabity-Jensen Investment Management Inc.,9850 Nicholas St.,Suite 305,Omaha,NE,68114,(402) 391-1021,nabityjensen.com,"$43,000,000 ",147,"$292,517 ",$0 ,0,,"$43,000,000 ",147,"$292,517 "
108120,Nancy A Socha & Associates LLC,181 East Second St.,,Corning,NY,14830,(607) 962-0605,nsocha.com,"$163,056,182 ","1,331","$122,507 ","$4,707,208 ",14,"$336,229 ","$167,763,390 ","1,345","$124,731 "
109201,Nancy C. Nelson & Associates Inc.,5326 110th Ave. Sw,,Olympia,WA,98512,(360) 754-2663,,"$40,547,733 ",174,"$233,033 ",$0 ,0,,"$40,547,733 ",174,"$233,033 "
153499,Naples Money Management LLC,3033 Riviera Dr #106,,Naples,FL,34103,(239) 261-4800,naplesmoneymanagement.com,"$80,834,000 ",128,"$631,516 ","$21,501,000 ",2,"$10,750,500 ","$102,335,000 ",130,"$787,192 "
135958,Narwhal Capital Management,531 Roselane St.,Suite 420,Marietta,GA,30060,(770) 344-0172,narwhalcapital.com,"$406,000,819 ",34,"$11,941,201 ","$25,907,350 ",5,"$5,181,470 ","$431,908,169 ",39,"$11,074,568 "
136346,National Wealth Management LLC,250 Moonachie Rd.,,Moonachie,NJ,7074,(201) 329-7880,nwmllc.com,"$130,232,581 ",618,"$210,732 ","$11,033,816 ",21,"$525,420 ","$141,266,397 ",639,"$221,074 "
110360,Nauset Wealth Management LLC,136 Main St.,Suite 201,Westport,CT,6880,(203) 454-7328,nausetwealth.com,"$69,497,640 ",255,"$272,540 ",$0 ,0,,"$69,497,640 ",255,"$272,540 "
154169,Nautilus Advisors LLC,2550 Fifth Ave.,Suite 510,San Diego,CA,92103,(619) 573-4617,,"$116,000,000 ",309,"$375,405 ",$0 ,0,,"$116,000,000 ",309,"$375,405 "
109432,Navpoint Financial Inc.,7900 Xerxes Av. S. Suite 500,,Minneapolis,MN,55431,(952) 746-1115,navpoint-financial.com,$0 ,0,,"$262,757,500 ",158,"$1,663,022 ","$262,757,500 ",158,"$1,663,022 "
123902,Nbz Investment Advisors LLC,4110 Sutherland Ave.,,Knoxville,TN,37919,(865) 584-1184,nbzcpa.com,"$95,954,625 ",271,"$354,076 ","$837,084 ",3,"$279,028 ","$96,791,709 ",274,"$353,254 "
120086,Nca Financial Planners,"6095 Parkland Blvd., Suite 210",,Mayfield Heights,OH,44124,(440) 473-1115,ncafinancial.com,"$527,500,000 ","2,313","$228,059 ","$8,800,000 ",16,"$550,000 ","$536,300,000 ","2,329","$230,271 "
151109,Ncm Capital Management LLC,161 N. Franklin Turnpike,Suite 203,Ramsey,NJ,7446,(201) 529-1429,ncmcapitalmgmt.com,"$50,000,000 ",180,"$277,778 ",$0 ,0,,"$50,000,000 ",180,"$277,778 "
105378,Needham Advisory Corporation,861 Turnpike St.,Unit 226,North Andover,MA,1845,(978) 681-8821,needhamadvisory.com,"$19,932,450 ",58,"$343,663 ","$50,880,837 ",227,"$224,145 ","$70,813,287 ",285,"$248,468 "
129776,Nelson Roberts Investment Advisors LLC,1950 University Ave.,#202,East Palo Alto,CA,94303,(650) 322-4000,nelsonroberts.com,"$257,806,365 ",363,"$710,210 ","$7,014,680 ",185,"$37,917 ","$264,821,045 ",548,"$483,250 "
148674,Nelson Van Denburg & Campbell Wealth Management Group LLC,14301 First National Bank Parkway,Suite 110,Omaha,NE,68154,(402) 218-4064,nvc.wealth.com,"$95,193,736 ",840,"$113,326 ","$7,233,449 ",13,"$556,419 ","$102,427,185 ",853,"$120,079 "
141203,Nepsis Capital Management Inc.,8692 Eagle Creek Circle,,Minneapolis,MN,55378,(952) 746-2003,nepsiscapital.com,"$160,000,000 ","1,200","$133,333 ",$0 ,0,,"$160,000,000 ","1,200","$133,333 "
110732,Netting & Pace Inc.,"7373 Broadway, Suite 400",,San Antonio,TX,78209,(210) 738-3888,nettingpace.com,"$103,416,529 ",251,"$412,018 ","$24,659,323 ",17,"$1,450,548 ","$128,075,852 ",268,"$477,895 "
126983,Networth Advisory Group LLC,9980 So. 300 W.,Suite 110,Sandy,UT,84070,(801) 566-6639,networthadvice.com,"$78,145,402 ",411,"$190,135 ","$60,434,962 ",421,"$143,551 ","$138,580,364 ",832,"$166,563 "
112182,Neumann Capital Management,"303 Vintage Park Drive, Suite 100",,Foster City,CA,94404,(650) 548-9200,neumanncapital.com,"$172,650,758 ",307,"$562,380 ",$0 ,0,,"$172,650,758 ",307,"$562,380 "
144982,New Albany Capital Partners LLC,4200 Regent St.,2nd Floor,Columbus,OH,43219,(614) 944-5011,newalbanycapital.com,"$193,389,274 ",19,"$10,178,383 ","$94,293 ",1,"$94,293 ","$193,483,567 ",20,"$9,674,178 "
131658,New Capital Management LP,4203 Montrose Blvd,Suite 340,Houston,TX,77006,(713) 874-1444,newcapitalmgmt.com,"$100,000,000 ",150,"$666,667 ","$45,000,000 ",75,"$600,000 ","$145,000,000 ",225,"$644,444 "
146494,New Century Capital Management LLC,125 Greenwich Ave,,Greenwich,CT,6830,(203) 629-3300,newcenturycm.com,$0 ,0,,"$38,801,654 ",421,"$92,165 ","$38,801,654 ",421,"$92,165 "
104553,New Century Financial Group LLC,118 Wall St.,,Princeton,NJ,8540,(609) 924-2049,newcenturygroup.com,"$157,000,000 ",519,"$302,505 ","$300,000 ",1,"$300,000 ","$157,300,000 ",520,"$302,500 "
109203,New England Capital Financial Advisors LLC,79 Main St.,,South Meriden,CT,6451,(203) 935-0265,newenglandcapital.com,"$126,409,356 ","1,001","$126,283 ",$0 ,0,,"$126,409,356 ","1,001","$126,283 "
133096,New England Investment & Retirement Group Inc.,231 Sutton St.,Suites 2A/2B,North Andover,MA,1845,(978) 975-2559,neinv.com,"$356,424,000 ","1,395","$255,501 ","$5,872,000 ",21,"$279,619 ","$362,296,000 ","1,416","$255,859 "
133790,New England Private Wealth Advisors LLC,"36 Washington St., Suite 395",,Wellesley,MA,2481,(781) 416-1700,nepwealth.com,"$493,398,647 ","1,393","$354,199 ","$188,522,216 ",279,"$675,707 ","$681,920,863 ","1,672","$407,847 "
155528,New Harbor Financial Group LLC,54 Main St.,Suite 102,Leominster,MA,1453,(978) 537-7701,newharborfinancial.com,"$203,000,000 ","1,045","$194,258 ","$5,200,000 ",85,"$61,176 ","$208,200,000 ","1,130","$184,248 "
113925,New Perspectives Inc.,303 Highland Park Cove,Suite B,Ridgeland,MS,39157,(601) 991-3158,newper.com,"$44,000,000 ",200,"$220,000 ","$1,000,000 ",5,"$200,000 ","$45,000,000 ",205,"$219,512 "
132578,Newfocus Financial Group LLC,410 West 12th St.,,Vancouver,WA,98660,(888) 762-2423,newfocusfinancial.com,"$168,263,295 ",700,"$240,376 ",$0 ,0,,"$168,263,295 ",700,"$240,376 "
134057,Next Generation Wealth Management Inc.,10700 Research Drive,Suite 150,Milwaukee,WI,53226,(414) 257-4248,ngwealth.com,"$90,438,271 ",271,"$333,721 ","$2,032,989 ",29,"$70,103 ","$92,471,260 ",300,"$308,238 "
136742,Nfi LLC,200 Northpoint Circle,Suite 202,Seven Fields,PA,16046,(724) 776-3999,nfillc.com,"$25,455,124 ",634,"$40,150 ",$0 ,0,,"$25,455,124 ",634,"$40,150 "
144516,Nicholas Hoffman & Co. LLC,"1355 Peachtree St.,Ste 1450",,Atlanta,GA,30309,(404) 815-5050,nhoffmanandco.com,"$221,329,396 ",133,"$1,664,131 ","$3,887,392 ",1,"$3,887,392 ","$225,216,788 ",134,"$1,680,722 "
121108,Nichols Investment Management,175 Exchange St.,,Bangor,ME,4401,(207) 942-8737,,"$43,898,795 ",138,"$318,107 ",$0 ,0,,"$43,898,795 ",138,"$318,107 "
105580,Nicholson Capital Management Inc.,4600 Madison Ave.,Suite 150,Kansas City,MO,64112,(816) 931-5757,nicholsoncap.com,"$76,702,731 ",202,"$379,716 ",$0 ,0,,"$76,702,731 ",202,"$379,716 "
107054,Nicholson Donald W & Associates Ltd,1403 Silverside Rd.,Ste B,Wilmington,DE,19810,(302) 529-1500,nicholson-associates.com,$0 ,0,,"$97,576,877 ",121,"$806,420 ","$97,576,877 ",121,"$806,420 "
109401,Nicollet Investment Management Inc.,100 North Sixth St.,Suite 150C,Minneapolis,MN,55403,(612) 915-3033,nicolletinvest.com,"$149,095,211 ",411,"$362,762 ",$0 ,0,,"$149,095,211 ",411,"$362,762 "
137496,Nightingale Financial Advisory,"2600 El Camino Real, Suite 220",,Palo Alto,CA,94306,(650) 843-0760,,"$23,900,000 ",100,"$239,000 ","$700,000 ",15,"$46,667 ","$24,600,000 ",115,"$213,913 "
117232,Nixon Peabody Financial Advisors LLC,1300 Clinton Square,,Rochester,NY,14604,(585) 263-1100,npfa.com,$0 ,0,,"$34,740,358 ",51,"$681,183 ","$34,740,358 ",51,"$681,183 "
129422,Norris Financial Group LLC,605 N. Main St.,,Greenville,SC,29601,(864) 235-6408,norrisfinancialgroup.com,"$52,462,448 ",200,"$262,312 ",$0 ,0,,"$52,462,448 ",200,"$262,312 "
104825,North American Management Corp,Ten Post Office Square Suite 1200 South,,Boston,MA,2109,(617) 695-2100,namcorp.com,"$1,003,692,796 ","1,182","$849,148 ","$138,042,516 ",24,"$5,751,772 ","$1,141,735,312 ","1,206","$946,713 "
130132,North Shore Private Asset Management LLC,272 E Deerpath Rd.,Suite 220,Lake Forest,IL,60045,(847) 234-4196,nsprivateam.com,"$79,360,917 ",44,"$1,803,657 ",$0 ,0,,"$79,360,917 ",44,"$1,803,657 "
106489,North Star Asset Management Inc.,"59 Racine St., Ste. A",,Menasha,WI,54952,(920) 729-7900,northstarinvestments.com,"$847,360,796 ","1,429","$592,975 ","$17,308,785 ",10,"$1,730,879 ","$864,669,581 ","1,439","$600,882 "
146452,Northland Capital Management,4815 West Arrowhead Road,Suite 220,Duluth,MN,55811,(218) 722-0559,northlandcap.com,"$29,033,944 ",150,"$193,560 ","$8,380,382 ",130,"$64,464 ","$37,414,326 ",280,"$133,623 "
131507,Northstar Financial Planners Inc.,1250 S. Pine Island Road,Suite 275,Plantation,FL,33324,(954) 693-0030,northstarplanners.com,"$72,636,540 ",461,"$157,563 ",$0 ,0,,"$72,636,540 ",461,"$157,563 "
117205,Northstar Financial Planning Inc.,112 Range Road,,Windham,NH,3087,(603) 458-2776,northstarfp.com,"$75,000,000 ",55,"$1,363,636 ",$0 ,0,,"$75,000,000 ",55,"$1,363,636 "
110409,Northstar Group Inc.,405 Lexington Ave,Suite 37A,New York,NY,10174,(212) 883-9595,,"$220,614,134 ",394,"$559,934 ",$0 ,0,,"$220,614,134 ",394,"$559,934 "
106805,Northwest Financial Services Inc.,9333 N Meridian St,Ste 300,Indianapolis,IN,46260,(317) 844-0448,,"$184,483,505 ",296,"$623,255 ","$12,319,521 ",32,"$384,985 ","$196,803,026 ",328,"$600,009 "
107953,Northwest Investment Counselors,"340 Oswego Pointe Drive, Suite 100",,Lake Oswego,OR,97034,(800) 685-7884,nwic.net,"$189,353,690 ",527,"$359,305 ","$1,154,866 ",1,"$1,154,866 ","$190,508,556 ",528,"$360,812 "
158455,Northwest Quadrant LLC,63088 Ne 18th St.,Suite 190,Bend,OR,97701,(541) 388-9888,financialfocusradio.com,"$120,000,000 ",785,"$152,866 ","$10,000,000 ",61,"$163,934 ","$130,000,000 ",846,"$153,664 "
110398,Norton Capital Management Inc.,999 Waterside Dr. Ste 2206,,Norfolk,VA,23510,(757) 623-1200,nortoncapital.com,"$50,551,372 ",226,"$223,679 ","$13,101,480 ",45,"$291,144 ","$63,652,852 ",271,"$234,881 "
125489,Nova Wealth Management Group LLC,1370 Center Drive,Suite 202,Atlanta,GA,30338,(770) 394-3281,novawealth.net,"$176,615,456 ",108,"$1,635,328 ","$324,847 ",5,"$64,969 ","$176,940,303 ",113,"$1,565,843 "
117949,Novare Capital Management,521 E. Morehead,Suite 510,Charlotte,NC,28202,(704) 334-3698,novarecapital.com,"$461,147,183 ",160,"$2,882,170 ","$5,183,000 ",4,"$1,295,750 ","$466,330,183 ",164,"$2,843,477 "
149287,Novick & Co. Financial Group LLC,50 Locust Ave.,1St Floor,New Canaan,CT,6840,(203) 801-0622,,"$138,947,791 ",373,"$372,514 ","$1,882,696 ",9,"$209,188 ","$140,830,487 ",382,"$368,666 "
114673,Novos Planning Associates Inc.,28 West 44th St.,Suite 1403,New York,NY,10036,(212) 355-1806,,"$83,292,227 ",61,"$1,365,446 ",$0 ,0,,"$83,292,227 ",61,"$1,365,446 "
128068,Noyes Capital Management LLC,17 Village Road,Second Floor,New Vernon,NJ,7976,(973) 267-8120,noyescapital.com,"$59,654,546 ",165,"$361,543 ","$5,180,065 ",4,"$1,295,016 ","$64,834,611 ",169,"$383,637 "
116894,Nr Smith & Associates P.S.,2120 Caton Way S.W.,,Olympia,WA,98502,(360) 754-9475,nrsmith.com,"$33,447,042 ",80,"$418,088 ",$0 ,0,,"$33,447,042 ",80,"$418,088 "
137192,Oak Advisors LLC,9 Oak Forest Road,Suite 200,Bluffton,SC,29910,(843) 757-9339,oakadvisors.net,"$101,328,487 ",366,"$276,854 ","$725,242 ",1,"$725,242 ","$102,053,729 ",367,"$278,076 "
139790,Oak Asset Management LLC,903 Commerce Drive,Suite #333,Oak Brook,IL,60523,(630) 928-5200,oakassetmgmt.com,"$92,000,000 ",200,"$460,000 ",$0 ,0,,"$92,000,000 ",200,"$460,000 "
111095,Oak Tree Investment Advisors,731 S. Aiken Ave,,Pittsburgh,PA,15232,(412) 802-8358,myoaktreeadvisors.com,"$76,670,697 ",330,"$232,335 ",$0 ,0,,"$76,670,697 ",330,"$232,335 "
148832,Oak Wealth Advisors LLC,500 Lake Cook Road,Suite 350,Deerfield,IL,60015,(847) 945-8888,oakwealth.com,"$65,500,000 ",29,"$2,258,621 ",$0 ,0,,"$65,500,000 ",29,"$2,258,621 "
112337,Oakmont Corporation,865 S. Figueroa St.,Suite 700,Los Angeles,CA,90017,(213) 891-6300,,"$389,035,298 ",28,"$13,894,118 ","$77,531 ",2,"$38,766 ","$389,112,829 ",30,"$12,970,428 "
141137,Oakmont Partners LLC,3 School St.,,Boston,MA,2108,(617) 227-3170,oakmontpwm.com,"$175,718,440 ",870,"$201,975 ","$499,522,000 ",1,"$499,522,000 ","$675,240,440 ",871,"$775,247 "
152613,Oakstreet Wealth Management Inc.,3131 South Dixie Drive,Suite 414,Dayton,OH,45439,(937) 294-4200,oakstreetwealth.com,"$208,748,777 ","1,321","$158,023 ","$38,361,485 ",230,"$166,789 ","$247,110,262 ","1,551","$159,323 "
110281,Obrien Greene & Co Inc.,218 W. State St.,,Media,PA,19063,(610) 891-7880,obriengreene.com,"$159,117,152 ",192,"$828,735 ","$89,500,000 ",19,"$4,710,526 ","$248,617,152 ",211,"$1,178,280 "
105336,O'Brien Management LLC,124 Mount Auburn St. Ste 550N,,Cambridge,MA,2138,(617) 547-6717,obrienmanagement.com,"$331,071,142 ","1,253","$264,223 ",$0 ,0,,"$331,071,142 ","1,253","$264,223 "
134506,Oder & Stewart Investment Management LLC,21300 Victory Blvd,Suite 1050,Woodland Hills,CA,91367,(818) 676-0036,oderstewart.com,"$68,246,000 ",123,"$554,846 ",$0 ,0,,"$68,246,000 ",123,"$554,846 "
105707,Ogorek Wealth Management LLC,Sheridan Meadows Corporate Park North,"6400 Sheridan Drive, Suite 224",Williamsville,NY,14221,(716) 626-5000,ogorek.com,"$230,500,174 ",453,"$508,830 ",$0 ,0,,"$230,500,174 ",453,"$508,830 "
158515,Ohana Advisors LLC,899 Northgate Drive,Suite 301,San Rafael,CA,94903,(415) 479-9150,,$0 ,0,,"$864,270,000 ",12,"$72,022,500 ","$864,270,000 ",12,"$72,022,500 "
119850,Ojm Group,8044 Montgomery Road,Suite 440,Cincinnati,OH,45236,(513) 791-7525,ojmgroup.com,"$197,810,000 ",715,"$276,657 ","$3,190,000 ",12,"$265,833 ","$201,000,000 ",727,"$276,479 "
105244,Old Dominion Capital Management Inc.,815 E. Jefferson St.,,Charlottesville,VA,22902,(434) 977-1550,odcm.com,"$254,376,000 ",859,"$296,130 ",$0 ,0,,"$254,376,000 ",859,"$296,130 "
140381,Old Mission Investment Co. LLC,880 Munson Ave.,Suite B,Traverse City,MI,49686,(231) 929-4100,omico.net,"$184,000,000 ",935,"$196,791 ","$98,674,000 ",195,"$506,021 ","$282,674,000 ","1,130","$250,154 "
132848,Old North Advisors LLC,50 Federal St.,,Boston,MA,2110,(617) 259-1700,oldnorthadvisors.com,"$195,371,470 ",428,"$456,475 ",$0 ,0,,"$195,371,470 ",428,"$456,475 "
106155,Old North State Trust LLC,106 West Raleigh St.,,Siler City,NC,27344,(919) 663-3996,oldnorthstatetrust.com,"$191,469,700 ",507,"$377,652 ","$15,517,800 ",49,"$316,690 ","$206,987,500 ",556,"$372,280 "
122500,Old Oak Financial Planning Inc.,7077 Fieldcrest Dr.,Suite 400,Brighton,MI,48116,(810) 220-4400,oldoakfinancial.com,"$28,867,577 ",132,"$218,694 ","$23,860,389 ",97,"$245,983 ","$52,727,966 ",229,"$230,253 "
112505,Oldfather Financial Services LLC,2033 Central Ave.,,Kearney,NE,68848,(308) 237-4571,oldfatherfinancial.com,"$61,021,926 ",292,"$208,979 ",$0 ,0,,"$61,021,926 ",292,"$208,979 "
114752,Olimpio Neu & Associates Inc.,15770 Dallas Parkway,Suite 200,Dallas,TX,75248,(972) 392-1344,,"$46,058,000 ",97,"$474,825 ","$53,000 ",2,"$26,500 ","$46,111,000 ",99,"$465,768 "
127606,Oliver Capital Management Inc.,601 Union St.,42nd Floor,Seattle,WA,98101,(206) 652-3500,olivercapital.com,$0 ,0,,"$105,000,000 ",807,"$130,112 ","$105,000,000 ",807,"$130,112 "
